央视,#genre#
QTV-3,http://218.59.23.23:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
QTV-4,http://218.59.23.23:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1中国教育1,http://218.59.23.23:9901/tsfile/live/0002_46.m3u8?key=txiptv&playlive=1&authid=0
BTVKAKU少儿卡酷动画,http://218.59.23.23:9901/tsfile/live/0002_47.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://218.59.23.23:9901/tsfile/live/0002_48.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://218.59.23.23:9901/tsfile/live/0002_49.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://218.59.23.23:9901/tsfile/live/0002_50.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://218.59.23.23:9901/tsfile/live/0002_51.m3u8?key=txiptv&playlive=1&authid=0
山东居家购物,http://218.59.23.23:9901/tsfile/live/0002_52.m3u8?key=txiptv&playlive=1&authid=0
山东新闻,http://218.59.23.23:9901/tsfile/live/0002_53.m3u8?key=txiptv&playlive=1&authid=0
山东少儿,http://218.59.23.23:9901/tsfile/live/0002_54.m3u8?key=txiptv&playlive=1&authid=0
山东农科,http://218.59.23.23:9901/tsfile/live/0002_55.m3u8?key=txiptv&playlive=1&authid=0
发现之旅,http://218.59.23.23:9901/tsfile/live/0002_63.m3u8?key=txiptv&playlive=1&authid=0
中学生,http://218.59.23.23:9901/tsfile/live/0002_66.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://218.59.23.23:9901/tsfile/live/0002_68.m3u8?key=txiptv&playlive=1&authid=0
海看教育,http://218.59.23.23:9901/tsfile/live/0002_69.m3u8?key=txiptv&playlive=1&authid=0
海看演艺,http://218.59.23.23:9901/tsfile/live/0002_70.m3u8?key=txiptv&playlive=1&authid=0
